senfi_number,shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
0302441065,4,http://emalls.ir//files/shoplogo/opzq8e4d480jipxq28jw0xy12p30gzmymnk5pc3lvr73q8114s[medium].jpg,بی نظیر شاپ,https://emalls.ir//Shop/29914/,29914,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~29914,در حال همکاری با ایمالز,مهدی نجفی,۰۲۱۲۸۴۲۱۷۹۰,چهارراه معلم ، کوچه 19 ، بلوار شهدا ، پلاک 361 ، طبقه همکف - چهارراه معلم، مبل بی نظیر,omooresite [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:36.312328+00:00,چهار محال بختیاری - لردگان,2 سال و 2 ماه و 9 روز,https://binazirshop.com/,دارد (یک ستاره),
,2,http://emalls.ir//files/shoplogo/bj0rtnwptpzjzf5nq8gmj8krszg6oy3ayc0wxw4bvu2s0e0b07[medium].png,کافه یراق,https://emalls.ir//Shop/23258/,23258,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~23258,در حال همکاری با ایمالز,حسین صلاحی,۰۲۱۷۷۱۸۰۲۳۴,منطقه شهرداری اوقاف، بلوار دلاوران، پلاک ۱۵، طبقه اول,cafeyaragh [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:36.416853+00:00,تهران - تهران,3 سال و 1 ماه و 15 روز,https://cafeyaragh.com/,دارد (یک ستاره),
0327068897,3,http://emalls.ir//files/shoplogo/hyoyjd5cv1bgwbltehct5vcrue6lx7q87vvsiesrpxoliiq543[medium].png,کفش نادر,https://emalls.ir//Shop/24696/,24696,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~24696,در حال همکاری با ایمالز,مهرزاد رودکی,۰۷۱۳۶۲۷۵۶۷۱,"فارس شیراز استان: فارس، شهرستان : شیراز، بخش : مرکزی، شهر: شیراز، محله: رحمت اباد، کوچه 1/الف شهید بهشتی، خیابان قصردشت، پلاک: 0.0، ساختمان 518، طبقه: همکف،
",nadershoes [dot] shiraz [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:36.517031+00:00,فارس - شیراز,2 سال و 11 ماه و 10 روز,https://nadershoe.com/,دارد (یک ستاره),
,3,http://emalls.ir/src/shop-default.svg,کیوتی کیدز مزون,https://emalls.ir//Shop/44940/,44940,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~44940,در حال همکاری با ایمالز,نگین سادات مداحی,۰۲۱۲۲۷۷۵۵۸۰,کاشانک، کوچه یکم، کوچه شهیدسیف اله شریفی (نهم شرقی )، پلاک: -21.0، طبقه: 4، واحد: غربی,neginmaddahi [at] gmail [dot] com,بدون امتیاز,https://web.whatsapp.com/send?phone=989900101496,سه شنبه ۲ بهمن,2025-01-21 16:36:36.696798+00:00,تهران - تهران,8 ماه و 2 روز,https://cutiekids-mezon.ir/,دارد (یک ستاره),
,4,http://emalls.ir//files/shoplogo/7pgdwhqhvxf7p1sj7focj0d0pdzu45rxprcorx8brrwwhyxmyr[medium].png,هوشمند نوین,https://emalls.ir//Shop/4251/,4251,اینترنتی,,در حال همکاری با ایمالز,مهدی وفائی,۴۱۵۲۶۰۰۰,"تهران تهران بخش میرزای شیرازی، کوچه مقدم، پلاک ۲۸، واحد ۱
",hnovin [dot] com [at] gmail [dot] com	,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:36.795997+00:00,تهران - تهران,4 سال و 7 ماه و 1 روز,https://www.hnovin.com/,دارد (یک ستاره),
,2,http://emalls.ir/src/shop-default.svg,پارس طب کالا,https://emalls.ir//Shop/45518/,45518,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~45518,در حال همکاری با ایمالز,محمد احمدی امین,۰۷۱۴۲۴۷۳۶۶۴,بالاده - بلوار معلم ک بوستان 1 - کوچه بوستان 1/1 - پلاک : 0.0 - طبقه : همکف,info [at] parstebkala [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:36.896287+00:00,فارس - کازرون,7 ماه و 23 روز,https://parstebkala.com/,دارد (یک ستاره) معتبر تا 1 سال و 3 ماه و 26 روز,
,3,http://emalls.ir//files/shoplogo/2jqks6ws7fob61m5xlnqnteh5d82n0tdzm57a8di2vtxpdy0sd[medium].png,دامون بیوتی,https://emalls.ir//Shop/29370/,29370,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~29370,در حال همکاری با ایمالز,مهدی معاریان,۰۲۵۳۶۵۰۵۴۴۶,محله: حاج زینل، کوچه هفتم تیر 1، کوچه پورزند 11، پلاک: 0.0، مجتمع تجاری سیرنگ،  طبقه: 5، واحد: 54,onlineshop [dot] damon [at] gmail [dot] com,بدون امتیاز,https://web.whatsapp.com/send?phone=989360011157,سه شنبه ۲ بهمن,2025-01-21 16:36:37.038348+00:00,قم - قم,2 سال و 3 ماه و 4 روز,https://damonbeauty.ir/,دارد (یک ستاره) معتبر تا 3 ماه و 18 روز,
,4,http://emalls.ir//files/shoplogo/mdutqlmxd0n5hmplumbimxs4y4cg3droj5133ddvg7gk6vv02o[medium].png,لپ استور,https://emalls.ir//Shop/30420/,30420,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~30420,در حال همکاری با ایمالز,رضا نورالدین,۰۹۱۲۹۴۶۱۲۱۵,محله: میرزکیان، کوچه ((پایاب ))، کوچه ((میرزکیان))، پلاک: 187.0، طبقه: همکف,miladgameoverr [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989370830651,https://t.me/REZEXIAN,https://instagram.com/lapstore.ir%20",سه شنبه ۲ بهمن,2025-01-21 16:36:37.140619+00:00,خوزستان - دزفول,2 سال و 1 ماه و 16 روز,https://lapstore.ir/,دارد (یک ستاره),
,4,http://emalls.ir//files/shoplogo/qpbw27b0d3qtydsr3lk4j570zhx3nv0hmj1z3xepb7tnqylr77[medium].png,رسان آب,https://emalls.ir//Shop/27540/,27540,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~27540,در حال همکاری با ایمالز,مهدی‌ رستگاری ,۰۶۱۳۲۹۲۰۰۹۳,خ آزادگان نبش شهید رستگاری مجتمع کار وتجارت محمدی ط همکف,rastegari81 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:37.241121+00:00,خوزستان - اهواز,2 سال و 6 ماه و 5 روز,https://rasanab.com/,دارد (یک ستاره),
,2,http://emalls.ir//files/shoplogo/kxof77iz44ma7qq3gn2la07wmbynvtybdwu5kerbinhbqqlxmn[medium].jpg,دکورا2020,https://emalls.ir//Shop/27917/,27917,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~27917,در حال همکاری با ایمالز,محمدرضا ملک جانی,۰۲۱۲۶۳۱۹۴۵۶, محله مجیدیه شمالی ، خیابان شهید رسول رحیمی ، خیابان بنی هاشم ، پلاک 79 ، طبقه همکف,mrmohammadjan [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:37.344873+00:00,تهران - تهران,2 سال و 5 ماه و 16 روز,https://decora2020.ir/,دارد (یک ستاره) معتبر تا 5 ماه و 9 روز,
,4,http://emalls.ir//files/shoplogo/gzshr7fg8c014fxemnl3mojl7g8ayc4aasenje258kuhohtciw[medium].png,برنج میرانی,https://emalls.ir//Shop/29916/,29916,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~29916,در حال همکاری با ایمالز,جابر میرانی, ۰۱۱۳۵۶۶۸۸۴۴,امام خمینی، بلوار امام خمینی، بن بست امام رضا 12، پلاک: 0.0، طبقه: 1،,info [at] berenjmirani [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:37.446217+00:00,مازندران - فریدون‌کنار,2 سال و 2 ماه و 8 روز,https://berenjmirani.com/,دارد (یک ستاره),
,2,http://emalls.ir//files/shoplogo/qtxl1pl6n2bx1tg1bx6durwe45to4y1xepmfn7a6x18v5aph5j[medium].png,شرکت عدالت فنر,https://emalls.ir//Shop/23255/,23255,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~23255,در حال همکاری با ایمالز,شرکت عدالت فنر,۰۲۱۵۶۲۳۱۰۶۹,محله: (شمس آباد)، خیابان سی و پنج متری دوم، خیابان گلسرخ ششم، پلاک: 0.0، طبقه: همکف,Edalat-fanar [at] yahoo [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:37.545637+00:00,تهران - تهران,3 سال و 1 ماه و 15 روز,https://edalatfanar.org/,دارد (یک ستاره) معتبر تا 1 ماه و 11 روز,
,3,http://emalls.ir/src/shop-default.svg,مهرسان پوز ,https://emalls.ir//Shop/44936/,44936,حضوری,,در حال همکاری با ایمالز,زهرا قلوبی ,۰۵۸۳۲۲۴۷۶۱۰,,zahragh7900 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:38.118821+00:00,خراسان شمالی - بجنورد,8 ماه و 2 روز,,,
,3,http://emalls.ir//files/shoplogo/pzstsvaapw470ahnj58xttl6stlbecc2hcfedste1d51z461oc[medium].png,سحرخیز,https://emalls.ir//Shop/24692/,24692,اینترنتی,,در حال همکاری با ایمالز,محمد حسین زاده,۰۵۱۳۸۳۸۳۳۴۰,بین امام رضا 26 و 28 فروشگاه سحرخیز,doctorhosseinzadhe [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:38.214975+00:00,خراسان رضوی - مشهد,2 سال و 11 ماه و 11 روز,https://saharkhiz-online.com/,دارد (یک ستاره),
,2,http://emalls.ir/src/shop-default.svg,شیائومی بازار,https://emalls.ir//Shop/44279/,44279,حضوری,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~44279,در حال همکاری با ایمالز,احسان ادب زاده,۰۲۱۴۷۶۲۴۲۴۷,,info [at] xiaomibazar [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:38.314890+00:00,تهران - تهران,8 ماه و 13 روز,,,
,4,http://emalls.ir//files/shoplogo/h5pg24hxi77ne1r120xuqqm2g43ybgw1invgbjzo0qc7nilg01[medium].png,پارسا طب,https://emalls.ir//Shop/6078/,6078,اینترنتی,,در حال همکاری با ایمالز,پارسا طب,۰۲۱۴۶۱۲۹۶۹۴,"تهران تهران بخش مرکزی ، شهر تهران، محله ستارخان ، خیابان شهید عباس غلامی ، کوچه دوم ، پلاک 13 ، طبقه اول ، واحد 2
",yasak9364 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:38.456732+00:00,تهران - تهران,4 سال و 1 ماه و 6 روز,http://parsatebiran.ir/,دارد (یک ستاره),
,2,http://emalls.ir/src/shop-default.svg,توسعه فیبرنوری,https://emalls.ir//Shop/45517/,45517,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~45517,در حال همکاری با ایمالز, ستاره زندوکیلی,۰۲۱۲۲۸۸۶۳۸۵,قبا - کوچه زرین - خیابان دکتر علی شریعتی - مینا - پلاک : 1265.0 - طبقه : -1 - واحد : 2,setarehzvzv [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989359274629,https://instagram.com/tosee_fibrnoori",سه شنبه ۲ بهمن,2025-01-21 16:36:38.555717+00:00,تهران - تهران,7 ماه و 23 روز,https://toseefusion.ir/, معتبر تا 4 ماه و 4 روز,
,3,http://emalls.ir//files/shoplogo/7gh3eg1dj4kqng2fuza4eynwjth2uiki22clfrc1kmnatogl4u[medium].png,لئون پارس,https://emalls.ir//Shop/27651/,27651,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~27651,در حال همکاری با ایمالز,رضا بابازاده,۰۲۱۲۶۳۲۱۴۸۷,محله: میدان ولی عصر، خیابان شهید سپهبد قرنی، کوچه شهید محمود حقیقت طلب، پلاک: 9.0، طبقه: پنجم، واحد: 17,r [dot] multitrade [at] gmail [dot] com ,بدون امتیاز,"https://web.whatsapp.com/send?phone=989125160289,https://t.me/leonpars,https://instagram.com/leonpars_org",سه شنبه ۲ بهمن,2025-01-21 16:36:38.655456+00:00,تهران - تهران,2 سال و 5 ماه و 29 روز,https://kafshor.com/,دارد (یک ستاره),
,2,http://emalls.ir//files/shoplogo/znbv0b6m8nxiqfpkawdtjyrn21aqldoz11rxsdt2tc3xvjuz10[medium].jpg,چرم کاکتوس,https://emalls.ir//Shop/21914/,21914,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~21914,در حال همکاری با ایمالز,یوسف علیزاده,۰۲۱۶۵۴۰۰۴۲۰,"کارخانه چرم کاکتوس
تهران جاده ملارد شهرک زمرد ویلا خیابان شبنم 12 پلاک 398",alizadeh68 [at] gmail [dot] com,بدون امتیاز,"https://instagram.com/Cactusleather,https://rubika.ir/Cactusleather",سه شنبه ۲ بهمن,2025-01-21 16:36:38.759901+00:00,تهران - شهریار,3 سال و 3 ماه و 24 روز,https://cactusleather.ir/,دارد (یک ستاره) معتبر تا 9 ماه و 10 روز,
,4,http://emalls.ir//files/shoplogo/4vjomhx4pyegivznwkncgv272k7mairbrbbxewyfeef5abgu40[medium].png,صباگاز,https://emalls.ir//Shop/18978/,18978,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~18978,در حال همکاری با ایمالز,داریوش شکرالهی,۰۲۸۳۳۵۵۷۹۴۴,قزوین خیابان شهدا کوچه گلزار 14 پ6 طبقه دوم,sabagazstore [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:38.862562+00:00,قزوین - قزوین,3 سال و 8 ماه و 8 روز,https://sabagaz.ir/,دارد (یک ستاره) معتبر تا 2 ماه و 14 روز,
,4,http://emalls.ir//files/shoplogo/n85otlnevwja338f64b0osxn831di3xag4cx8yj6bwzpupiv1q[medium].jpg,آلفا دنت,https://emalls.ir//Shop/27516/,27516,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~27516,در حال همکاری با ایمالز,علی اصغر میرزائی,۰۲۱۶۵۸۷۰۲۱۹,خیابان آزادی مابین نواب و رودکی مجتمع سیناسنتر طبقه همکف واحد21,elahezareifarani2002 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:38.963281+00:00,تهران - تهران,2 سال و 6 ماه و 8 روز,https://alfadent.ir/,دارد (یک ستاره),
,4,http://emalls.ir//files/shoplogo/mvln1ps3naiktrjugnpspqrb1px6iwbyqtyx3ghnrfrcb2qis5[medium].png,وارسیلار,https://emalls.ir//Shop/29921/,29921,اینترنتی,,در حال همکاری با ایمالز,نوید فولادپور, ۰۲۱۴۴۴۸۳۹۱۵,جنت آباد جنوبی، خیابان 16 متری دوم جنوبی، بن بست شهید نوبختی (چهارم غربی)، پلاک: 56.0، طبقه: همکف، واحد: غربی,Navid [dot] fldpr [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:39.128831+00:00,تهران - تهران,2 سال و 2 ماه و 8 روز,http://varsilar.com/,دارد (یک ستاره),
,2,http://emalls.ir//files/shoplogo/5ymomh4a14ianv5c0fo6tug76ioodu5154y6csnku2b16cii6k[medium].png,معین پلاس,https://emalls.ir//Shop/23254/,23254,اینترنتی,,در حال همکاری با ایمالز,فرشاد ضیاءنور,۰۴۱۳۵۵۶۰۰۸۱,خیابان شریعتی-چهار راه شریعتی-بازار بزرگ شریعتی-طبقه اول-پلاک 20,moein [dot] plus0081 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:39.225478+00:00,آذربایجان شرقی - تبریز,3 سال و 1 ماه و 15 روز,https://moeinplus.com/,دارد (یک ستاره),
,2,http://emalls.ir//files/shoplogo/klzzqyyou8elqtqf6ei6vm62i2e200qtdcmiy0b6nbhmc3sbp2[medium].jpg,گیتا مد,https://emalls.ir//Shop/45514/,45514,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~45514,در حال همکاری با ایمالز,ابوالفضل ادیب,۰۳۵۳۶۳۰۸۲۹۹, اکبرآباد - بلوار شهید منتظر قائم - خیابان آیت الله کاشانی - آزادی - پلاک : 0.0 - طبقه : همکف,yazdcitymmm666 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989929174381,https://instagram.com/eiffelbootik.ir",سه شنبه ۲ بهمن,2025-01-21 16:36:39.328931+00:00,یزد - یزد,7 ماه و 23 روز,https://gitamod.com/,دارد (یک ستاره) معتبر تا 3 ماه و 26 روز,
,3,http://emalls.ir//files/shoplogo/p4jiywcmsloxq3jeomunkduv1is8asgg1jaj88twczlsjz6zpa[medium].png,دنیای دیجیتال عرب,https://emalls.ir//Shop/27637/,27637,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~27637,در حال همکاری با ایمالز,محمد عرب,۰۱۷۳۳۲۹۵۹۸۰,  خیابان شریعتی شرقی پاساژ سون پلاک ۳۴,ariyanarab96 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:39.471531+00:00,گلستان - گنبد کاووس,2 سال و 6 ماه,https://arabdigi.ir/,دارد (یک ستاره),
,5,http://emalls.ir//files/shoplogo/nimsttmf51smuedrq5vo4vtc32yhtu4o8rc7sgv588ry6zyfma[medium].jpg,وندا پی سی,https://emalls.ir//Shop/21631/,21631,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~21631,در حال همکاری با ایمالز,امین وهابب,۰۱۱۴۲۰۳۳۵۱۶,محله کارگر ، کوچه یاس 9[شهید سعید ذبیحی] ، بلوار کارگر[ساری] ، پلاک 0 ، طبقه همکف,Aminvahabi1989 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:39.571118+00:00,مازندران - قائم‌شهر,3 سال و 4 ماه و 6 روز,http://vandapc.ir/,دارد (یک ستاره),
,4,http://emalls.ir//files/shoplogo/xwwt5e0p3jdr1navn1w6k40jnogxti5we4krirh6omzsjfeu2c[medium].png,باملو,https://emalls.ir//Shop/30409/,30409,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~30409,در حال همکاری با ایمالز,محمد جلوداری,۰۲۱۳۳۳۱۸۲۶۴,پیروزی، خیابان شهید سیدمحمدباقر دریاباری، کوچه شهید علی قربانی، پلاک: 3.0، طبقه: 3، واحد: 3,akamkalanet [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:36:39.673502+00:00,تهران - تهران,2 سال و 1 ماه و 16 روز,https://bamelo.co/,دارد (یک ستاره),
