shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,senfi_number,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
2,http://emalls.ir/src/shop-default.svg,تایگر ایکس,https://emalls.ir//Shop/54681/,54681,اینترنتی,,,عدم همکاری با ایمالز,نادر رحیمی ریسن,۰۹۹۲۵۰۹۷۶۴۴,گرکرود - خیابان ( جاده گرکرود ) - کوچه شهید علی فروزنده - پلاک : 15.0 - طبقه : همکف,yasincoder1 [at] gmail [dot] com,بدون امتیاز,https://rubika.ir/Robot_TigerX,چهارشنبه ۳ بهمن,2025-01-22 14:33:27.142610+00:00,گیلان - املش,--,https://tiger-x.ir/,,
6,http://emalls.ir/src/shop-default.svg,آرومایند,https://emalls.ir//Shop/55573/,55573,اینترنتی,,,عدم همکاری با ایمالز, سمیرا سمیعی,۰۲۱۳۳۳۶۵۲۰۴,محله : بروجردی - خیابان شهید احمدرضایی تاجری - کوچه حافظ - پلاک : 39.0 - طبقه : 3,openmarketmanager [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:28.646827+00:00,تهران - تهران,--,https://www.aromind.ir/,,
4,http://emalls.ir/src/shop-default.svg,تک سنتر,https://emalls.ir//Shop/55142/,55142,اینترنتی,,,عدم همکاری با ایمالز,محمدجواد مختارنژاداقدم,۰۹۰۳۸۱۸۱۷۲۴,خیابان امام شمالی _ کوچه اکرام ۱محله : اصلی - خیابان امام [خ شهیدمحمدتقی پسیان] - بلوار انقلاب - پلاک : 0.0 - طبقه : همکف,mjaavadd7803 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:29.332391+00:00,آذربایجان غربی - قره‌ضیاءالدین,--,https://techcntr.ir/, معتبر تا 10 ماه و 27 روز,
2,http://emalls.ir/src/shop-default.svg,گروه بازرگانی غدیر,https://emalls.ir//Shop/55185/,55185,حضوری,,,غیرفعال به دلیل عدم تکمیل مدارک,رضا عباسی,۰۹۰۳۱۳۲۳۵۲۷,,,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:29.724550+00:00,فارس - شیراز,21 روز,,,
3,http://emalls.ir/src/shop-default.svg,لنامد,https://emalls.ir//Shop/55966/,55966,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,پریسا زمینی,۰۲۱۴۴۱۴۶۰۲۷,محله : اکباتان - بلوار شهید ابوالقاسم بوذری - خیابان .شکوری غربی - فاز یک بازارچه سوپر 10 راهروی اصلی - پلاک : 0.0 - طبقه : 1 - واحد : 9,info [at] lenamod [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:29.867678+00:00,تهران - تهران,4 روز,http://lenamod.com/,دارد (یک ستاره) معتبر تا 1 سال و 11 ماه و 7 روز,
3,http://emalls.ir//files/shoplogo/zs7imgstofamuhefunlvhtz44uo44hcieug7l1zilcriqkd0k8[medium].png,اپا پرشیا,https://emalls.ir//Shop/52370/,52370,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,پویا فروزان صدر,۰۲۱۲۲۰۱۶۳۴۶,باغ فردوس - خیابان جهان پهلوان تختی - بن بست هشتم - پلاک : 2.0 - طبقه : همکف - واحد : 1,info [at] oppapersia [dot] ir,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:30.293465+00:00,تهران - تهران,2 ماه و 16 روز,http://oppapersia.ir/, معتبر تا 9 ماه و 11 روز,
6,http://emalls.ir//files/shoplogo/mjtmhn2d6dg4cnr3t1zrrnea5ks237stwp0ypb30788fsnlaj7[medium].png,گاندو شاپ,https://emalls.ir//Shop/55130/,55130,اینترنتی و حضوری,,,عدم همکاری با ایمالز,وحید ابراهیمی,۰۹۱۲۴۰۷۵۳۵۱,محله : ستارخان - خیابان شهید محمد کاشانی پور - کوچه شهید حسن اعتباریان (دستینه) - پلاک : 22.0 - طبقه : 2 - واحد : جنوبی,info[at]gandopetshop [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:31.302550+00:00,تهران - تهران,--,https://gandopetshop.com/,,
4,http://emalls.ir//files/shoplogo/xzvxpwrlzmcvajoywmqxqoxi7ts6qzklggwp1xu5eq8xwvufza[medium].png,ام تی مهر,https://emalls.ir//Shop/30258/,30258,اینترنتی,,,قطع همکاری با ایمالز,محمد رحیمی,۰۷۱۴۳۵۲۳۰۰۰,شاه ولی، کوچه 2 ولی عصر جنوبی[1 شهید مطهری]، خیابان ولی عصر جنوبی، پلاک: 0.0، طبقه: همکف,morahimi92 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:31.413434+00:00,فارس - ارسنجان,--,https://mtmehr.ir/,دارد (یک ستاره),
2,http://emalls.ir//files/shoplogo/5b0zwif6i8ev45nmd1qf6jnseazoo3mc30s6bi4uig81hagglp[medium].jpg,کنگان هوم,https://emalls.ir//Shop/52695/,52695,اینترنتی,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~52695,عدم همکاری با ایمالز,حسن عابدی,۰۷۷۳۷۲۲۱۵۶۴,خمین آباد - کوچه 54 امام خمینی - بلوار امام خمینی - مروارید - پلاک : 0.0 - طبقه : همکف,,بدون امتیاز,"https://web.whatsapp.com/send?phone=989179208269,https://t.me/kanganhome1,https://instagram.com/kanganhome",چهارشنبه ۳ بهمن,2025-01-22 14:33:31.998775+00:00,بوشهر - بندر کنگان,--,https://kanganhome.com/,دارد (یک ستاره) معتبر تا 1 سال و 7 ماه و 11 روز,
2,http://emalls.ir/src/shop-default.svg,ورجی شاپ,https://emalls.ir//Shop/55179/,55179,اینترنتی,,,عدم همکاری با ایمالز,ابراهیم بحری,۰۹۳۳۸۸۱۶۳۸۳,کوشکنار -بهدشت - شهر : یرد خردو - محله : یردخردو - خیابان اصلی - کوچه مسجد - پلاک : 0.0 - طبقه : همکف,dr [dot] ebi1996 [at] yahoo [dot] com,بدون امتیاز,https://web.whatsapp.com/send?phone=989371376681,چهارشنبه ۳ بهمن,2025-01-22 14:33:32.556371+00:00,هرمزگان - پارسیان,--,https://varjishop.ir/, معتبر تا 4 ماه و 20 روز,
2,http://emalls.ir/src/shop-default.svg,کم شاپ,https://emalls.ir//Shop/53234/,53234,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,احسان مرشدلو,۰۲۱۶۶۹۱۶۳۴۵,"جمالزاده - خیابان جمالزاده شمالی - خیابان نصرت - پلاک : 88.0 - طبقه : 2
",info [at] azchemshop [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:33.452706+00:00,تهران - تهران,1 ماه و 29 روز,https://azchemshop.com/,دارد (یک ستاره) معتبر تا 1 سال و 9 ماه و 23 روز,
2,http://emalls.ir/src/shop-default.svg,بالومیک گجت,https://emalls.ir//Shop/52697/,52697,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,محمدحسین الماسی,۰۲۱۲۲۹۳۰۷۷۴,لویزان - خیابان شهید حسن شاهرضائی - کوچه شیدائی - پلاک : 1.0 - طبقه : 2,,بدون امتیاز,"https://web.whatsapp.com/send?phone=989302707097,https://t.me/balomic_gadget,https://instagram.com/balomic_gadget",چهارشنبه ۳ بهمن,2025-01-22 14:33:33.557991+00:00,تهران - تهران,2 ماه و 9 روز,balomicgadget.com,دارد (یک ستاره) معتبر تا 1 سال و 3 ماه و 25 روز,
2,http://emalls.ir/src/shop-default.svg,رویا,https://emalls.ir//Shop/55978/,55978,اینترنتی,,,عدم همکاری با ایمالز,شقایق ولیزاده,۰۲۱۳۳۸۳۷۰۰۹, محله : افسریه - خیابان برادران شهیدعلیرضایی (15متری اول) - خیابان شهید حجت اله باقری (36) - پلاک : 261.0 - طبقه : 3,shirinvalizadeh70 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:33.780119+00:00,تهران - تهران,--,https://www.royashopping.ir/,,
2,http://emalls.ir/src/shop-default.svg,سلومد,https://emalls.ir//Shop/56200/,56200,اینترنتی,,,عدم همکاری با ایمالز,فرزانه بختیاری,۰۵۱۳۷۶۶۳۳۱۶,محله : اقبال - خیابان شهیدبرسلانی[پیروزی81] - خیابان بنفشه 19[شهیدبرسلانی 1] - پلاک : -62.0 - طبقه : 5 - واحد : 10,selomode [dot] ir [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:34.483199+00:00,خراسان رضوی - مشهد,--,https://selomode.com/,دارد (یک ستاره) معتبر تا 1 سال و 9 ماه و 4 روز,
2,http://emalls.ir//files/shoplogo/u611rhn1t8mhqrck5cfwfbtlrw41z17p2w33cye1ha6sa2ir1i[medium].png,لپ تاپ ثنا,https://emalls.ir//Shop/55456/,55456,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک, مجيد حاجي خاني فرد,۰۲۱۸۸۸۰۶۶۷۷,محله : دانشگاه تهران - خیابان دمشق - خیابان ولیعصر - تجاری اداری ایران - پلاک : 1586.0 - طبقه : همکف - واحد : 441,info [at] laptopstok [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:36.129590+00:00,تهران - تهران,16 روز,https://www.laptopstok.com/,,
3,http://emalls.ir//files/shoplogo/nayjslcnl81xwji8lbzwkoa7b0lgmj2krr1b3diwhpgthmrio8[medium].png,کندیز ,https://emalls.ir//Shop/55967/,55967,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,طاهره زنگنه دارانی,۰۲۶۳۴۲۰۷۴۲۷,محله : رجایی شهرفاز3 بلوک 3 - خیابان شهید اسفندیاری[12متری گلستان] - بلوار انقلاب اسلامی - پلاک : 171.0 - طبقه : -1, zanganeh [dot] tara987 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989926661192,https://t.me/candiz_mode,https://instagram.com/candiz_co",چهارشنبه ۳ بهمن,2025-01-22 14:33:36.522323+00:00,البرز - کرج,4 روز,https://candiz.ir/,دارد (یک ستاره) معتبر تا 1 سال و 9 ماه و 11 روز,
2,http://emalls.ir//files/shoplogo/2hrec45gi8o5yriwlmvygrfthn3l3pmjaxk84p8jo26lkskmkl[medium].png,دارانور,https://emalls.ir//Shop/53058/,53058,اینترنتی,,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~53058,غیرفعال به دلیل نداشتن نماد,نادر بيات,۰۲۱۳۶۹۰۸۷۱۵,محله: خیابان سعدی جنوبی، کوچه بوشهری، خیابان لاله زار، پلاک: 143.0، بوشهری ، طبقه: 2، واحد: 18،,misaghbayat173 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:37.465937+00:00,تهران - تهران,2 ماه و 3 روز,https://daranoor.ir/,,
2,http://emalls.ir/src/shop-default.svg,پاور011,https://emalls.ir//Shop/54678/,54678,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,سحر صادقی,۰۵۱۳۸۹۳۷۸۹۵,آب و برق - بلوار شهیدصیادشیرازی (شهیدفکوری 9) - خیابان شهیدصیادشیرازی 42 (شقایق 3) - پلاک : 16.0 - طبقه : 2,saharsadeghi13771016 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:37.842861+00:00,خراسان رضوی - مشهد,1 ماه,https://power011.ir/,,
3,http://emalls.ir/src/shop-default.svg,جلفا دات شاپ,https://emalls.ir//Shop/52371/,52371,اینترنتی,,,عدم همکاری با ایمالز,سینا سوری علمداری ,۰۴۱۴۲۰۴۵۱۵۵,آقبلاغ - خیابان امام جعفرصادق - بن بست ((سوری)) - پلاک : 0.0 - طبقه : همکف,info [at] jolfa [dot] shop,بدون امتیاز,"https://web.whatsapp.com/send?phone=989027279372,https://instagram.com/Jolfa_store,https://rubika.ir/jolfa_store",چهارشنبه ۳ بهمن,2025-01-22 14:33:37.959916+00:00,آذربایجان شرقی - هادی‌شهر,--,https://jolfa.shop/, معتبر تا 7 ماه و 1 روز,
2,http://emalls.ir/src/shop-default.svg,شاپ213,https://emalls.ir//Shop/55181/,55181,اینترنتی,,,عدم همکاری با ایمالز,بهاره قاسمی زاده,۰۲۱۴۶۲۹۱۷۶۹,محله : صادقیه - خیابان پرویز (21 غربی) - بلوار شهدای صادقیه - پلاک : 16.0 - طبقه : 1 - واحد : شمال شرقی,baharghasemizadeh1367 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989128177570,https://instagram.com/shop_b213",چهارشنبه ۳ بهمن,2025-01-22 14:33:38.066732+00:00,تهران - تهران,--,https://shop213.ir/, معتبر تا 11 ماه,
2,http://emalls.ir/src/shop-default.svg,ایران وال ,https://emalls.ir//Shop/52696/,52696,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,وحید ناصری,۰۹۳۳۴۲۷۷۱۴۴,محله : گلشهر فاز 1 - خیابان هنرستان - کوچه روژآوا 2 - پلاک : 0.0 - طبقه : همکف,baxtiarkhan1 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989334277144,https://t.me/irannwahl",چهارشنبه ۳ بهمن,2025-01-22 14:33:38.911854+00:00,کردستان - بانه,2 ماه و 9 روز,https://iranwahl.com/,دارد (یک ستاره) معتبر تا 1 سال و 9 ماه,
3,http://emalls.ir//files/shoplogo/wjcavo2jsugxjdqqy1wh1eyn4ejfh5netq8df75ijvxi631052[medium].png,گرین پرودو,https://emalls.ir//Shop/56165/,56165,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,سیدایوب موحدی,۰۷۱۵۲۲۴۱۸۲۸,محله : شهرجدید - خیابان هتل کوثر - بلوار دانشجو - پلاک : 0.0 - طبقه : همکف,info [at] greenprodo [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:39.559868+00:00,فارس - لار,1 روز,https://greenporodo.com/,,
2,http://emalls.ir/src/shop-default.svg,پی اس تک,https://emalls.ir//Shop/55977/,55977,اینترنتی و حضوری,,,غیرفعال به دلیل عدم تکمیل مدارک,امیر شیرین دل,۰۹۱۲۹۲۴۰۴۶۱,محله : ستارخان - خیابان ستارخان - خیابان شهید رحیم صحرایی - بازار سنتی ستارخان - پارسیان - پلاک : 0.0 - طبقه : همکف - واحد : 20.216,amir [dot] shirindell [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989129240461,https://t.me/Shoppstak",چهارشنبه ۳ بهمن,2025-01-22 14:33:39.666927+00:00,تهران - تهران,4 روز,https://pstak.ir/,,
3,http://emalls.ir/src/shop-default.svg,میلوصا,https://emalls.ir//Shop/51758/,51758,حضوری,,,قطع همکاری با ایمالز,فاطمه سبزه علیان ,۰۲۱۷۷۹۱۶۹۶۲,,sali [dot] sabzalian [at] yahoo [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:40.027658+00:00,تهران - تهران,--,,,
2,http://emalls.ir//files/shoplogo/zsuu7enrmhj4iobii3fp28ffbz8i36y4wpjynkd1xpg743c7gz[medium].png,ویشکاکافی,https://emalls.ir//Shop/56199/,56199,اینترنتی,,,عدم همکاری با ایمالز, محمد كرماني نژادگوندوك,۰۵۱۳۲۷۶۱۰۹۷,محله: فاطمیه ، کوچه شهید سردار ابراهیمی 29، خیابان شهید سردار ابراهیمی، پلاک: 0.0، طبقه: همکف،,mohamadkermani2000 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989159099179,https://instagram.com/vishkacoffee.ir",چهارشنبه ۳ بهمن,2025-01-22 14:33:40.761281+00:00,خراسان رضوی - مشهد,--,https://vishkacoffee.ir/,دارد (یک ستاره) معتبر تا 3 ماه و 3 روز,
3,http://emalls.ir/src/shop-default.svg,شیک پوش شاپ,https://emalls.ir//Shop/55585/,55585,اینترنتی,,,عدم همکاری با ایمالز,مهران اصغری سرخابی,۰۴۱۳۵۲۵۰۳۷۱,محله : دارائی - کوچه شفائیه - بازار حرم خانه - سعیدیه - پلاک : -1.001 - طبقه : همکف,mehran [dot] asghari [dot] sorkhabi [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989214150134,https://instagram.com/shikpoush_shop_",چهارشنبه ۳ بهمن,2025-01-22 14:33:41.290383+00:00,آذربایجان شرقی - تبریز,--,https://shikpoush-shop.ir/,دارد (یک ستاره) معتبر تا 2 سال و 14 روز,
6,http://emalls.ir/src/shop-default.svg,الکترو کیانراد,https://emalls.ir//Shop/54639/,54639,حضوری,,,غیرفعال به دلیل عدم تکمیل مدارک,مهرداد حیدری,,,m [dot] heidarii282 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:41.512397+00:00,,1 ماه,,,
2,http://emalls.ir//files/shoplogo/xfuxwry0g1gphvmxhu4k4mlnigeequzbwwbiu4050y30kx5g7t[medium].png,بازرگانی برنج ناصر,https://emalls.ir//Shop/55462/,55462,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,ناصر صفری کناری,۰۱۱۳۵۶۵۸۸۸۱,محله : امام خمینی - کوچه امام خمینی 6 - بلوار امام خمینی - پلاک : 0.0 - طبقه : همکف,info [at] berenjnaser [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:41.796750+00:00,مازندران - فریدون‌کنار,15 روز,https://berenjnaser.com/,دارد (یک ستاره) معتبر تا 1 سال و 11 ماه و 5 روز,
3,http://emalls.ir/src/shop-default.svg,برنز زحل,https://emalls.ir//Shop/54940/,54940,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,کریم نور محمدی,۰۲۱۶۶۹۵۲۹۸۵,خیابان وحدت اسلامی روبروی خیابان بهشت نبش کوچه اسدی منش پلاک 946,,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:42.131654+00:00,تهران - تهران,25 روز,https://bronzezohal.com/,دارد (یک ستاره) معتبر تا 1 سال و 10 ماه و 3 روز,
6,http://emalls.ir/src/shop-default.svg,آسان فون,https://emalls.ir//Shop/55409/,55409,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,فائزه سادات کاویانی جبلی,۰۹۱۹۴۵۳۶۶۵۳,محله : عربستان(حسین آباد) - کوچه طالقانی 85 - کوچه طالقانی 87[عماریاسر 12] - تراشه - پلاک : 185.0 - طبقه : 1 - واحد : 208,kaveani [dot] faeze [at] gmail [dot] com,بدون امتیاز,https://web.whatsapp.com/send?phone=989127481948,چهارشنبه ۳ بهمن,2025-01-22 14:33:42.654932+00:00,قم - قم,16 روز,https://asanphone.ir/, معتبر تا 10 ماه و 25 روز,
2,http://emalls.ir/src/shop-default.svg,لوتوس تل,https://emalls.ir//Shop/53241/,53241,حضوری,,,غیرفعال به دلیل عدم تکمیل مدارک,معین ابراهیم نژاد,۰۱۳۳۳۸۴۷۷۸۲,گیلان .رشت خیابان فلسطین .خیابان ایزددوست .400متر بعد از رستوران اردشیر موبایل لوتوس تل,,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:42.770973+00:00,گیلان - رشت,1 ماه و 29 روز,,,
3,http://emalls.ir//files/shoplogo/t0d4je8zkbpp5ulpyv6tqxgvhv5e2y3flt1wmwf83amtlp6myw[medium].png,ویش,https://emalls.ir//Shop/55177/,55177,اینترنتی,,,عدم همکاری با ایمالز,آرزو اکبرپور,۰۷۱۳۳۶۰۱۲۲۳,محله : تلخداش - کوچه 15/4 نمازی[14 مصلی نژاد] - بن بست 9 - پلاک : 0.0 - طبقه : -1,arezzooak [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:43.177983+00:00,فارس - شیراز,--,https://wishopproduct.com/,دارد (یک ستاره) معتبر تا 1 سال و 8 ماه و 20 روز,
6,http://emalls.ir/src/shop-default.svg,امورمشترکین حسین قاسمی,https://emalls.ir//Shop/55933/,55933,اینترنتی,,,غیرفعال به دلیل عدم تکمیل مدارک,حسین قاسمی,۰۲۶۴۴۲۶۴۶۱۹,محله : هشتگرد قدیم - کوچه خیبر - بن بست ادیب - پلاک : -15.0 - طبقه : 2 - واحد : 2,hosseinghassemi1361 [at] gmail [dot] com,بدون امتیاز,,چهارشنبه ۳ بهمن,2025-01-22 14:33:43.518924+00:00,البرز - هشتگرد,5 روز,http://hosenghasemi.ir/,دارد (یک ستاره) معتبر تا 2 سال و 21 روز,
3,http://emalls.ir/src/shop-default.svg,ریگ شاپ,https://emalls.ir//Shop/56164/,56164,اینترنتی,,,عدم همکاری با ایمالز,علیرضا جمشیدی,۰۷۷۳۳۵۳۵۷۱۸,محله : باغ زهرا - خیابان شهید مطهری - بن بست عرفان 8 - پلاک : 222.0 - طبقه : همکف,alirezajamshidi7 [at] gmail [dot] com,بدون امتیاز,https://web.whatsapp.com/send?phone=989177727848,چهارشنبه ۳ بهمن,2025-01-22 14:33:43.828048+00:00,بوشهر - بندر بوشهر,--,https://rig-shop.ir/,,
6,http://emalls.ir/src/shop-default.svg,فروشگاه کمک موبایل,https://emalls.ir//Shop/54887/,54887,اینترنتی,,,عدم همکاری با ایمالز,هادی  اوجاقی,۰۴۴۴۵۲۴۳۴۷۶,شهرداری - کوچه شهیدبروجردی - خیابان شهدای غربی - پلاک : 0.0 - طبقه : همکف,info [at] koomakmobile [dot] ir,بدون امتیاز,"https://t.me/koomakmobile,https://instagram.com/komak._.mobile",چهارشنبه ۳ بهمن,2025-01-22 14:33:44.327573+00:00,آذربایجان غربی - میاندوآب,--,https://koomakmobile.ir/,دارد (یک ستاره) معتبر تا 1 سال و 10 ماه,
